epoch,loss,lr,ohkm,val_loss,val_ohkm
0,0.002480143215507269,1e-04,0.0020667847711592913,0.003374580293893814,0.0028121499344706535
1,0.0004908606060780585,1e-04,0.00040905081550590694,0.0030282274819910526,0.0025235230568796396
2,0.00031808443600311875,1e-04,0.00026507038273848593,0.0028721445705741644,0.002393453847616911
3,0.0002279868785990402,1e-04,0.00018998906307388097,0.0036514729727059603,0.0030428944155573845
4,0.00018261265358887613,1e-04,0.0001521771919215098,0.0028969384729862213,0.0024141152389347553
5,0.00015673527377657592,1e-04,0.00013061269419267774,0.0029133863281458616,0.0024278222117573023
6,0.00013565488916356117,1e-04,0.00011304576037218794,0.0034643900580704212,0.0028869917150586843
7,0.00013065579696558416,1e-04,0.00010887981625273824,0.0032984658610075712,0.002748721744865179
8,9.066310303751379e-05,5e-05,7.555255433544517e-05,0.0030794127378612757,0.002566177397966385
9,7.34919958631508e-05,5e-05,6.124332139734179e-05,0.0033794380724430084,0.0028161986265331507
10,7.145052950363606e-05,5e-05,5.95420970057603e-05,0.003250688314437866,0.002708906540647149
11,6.92023677402176e-05,5e-05,5.766862886957824e-05,0.003270162967965007,0.0027251355350017548
12,6.635228055529296e-05,5e-05,5.5293563491431996e-05,0.00324641028419137,0.0027053416706621647
